instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed 
17380,2017-01-15,4,2017,1,12,0,0,0,3,0,0,1,0.03388059701492537
17380,2017-01-15,4,2017,1,13,0,0,0,3,0,0,1,0.03388059701492537
17380,2017-01-15,4,2017,1,14,0,0,0,3,0,0,1,0.03388059701492537
17381,2017-01-15,4,2017,1,15,0,0,0,1,0.04390243902439025,0.04390243902439025,0.96,0.033731343283582085
17381,2017-01-15,4,2017,1,16,0,0,0,1,0.04390243902439025,0.04390243902439025,0.96,0.033731343283582085
17381,2017-01-15,4,2017,1,17,0,0,0,1,0.04390243902439025,0.04390243902439025,0.96,0.033731343283582085
17382,2017-01-15,4,2017,1,18,0,0,0,1,0.13073170731707318,0.13073170731707318,0.75,0.03447761194029851
17382,2017-01-15,4,2017,1,19,0,0,0,1,0.13073170731707318,0.13073170731707318,0.75,0.03447761194029851
17382,2017-01-15,4,2017,1,20,0,0,0,1,0.13073170731707318,0.13073170731707318,0.75,0.03447761194029851
17383,2017-01-15,4,2017,1,21,0,0,0,1,0.13097560975609757,0.13097560975609757,0.69,0.025671641791044777
17383,2017-01-15,4,2017,1,22,0,0,0,1,0.13097560975609757,0.13097560975609757,0.69,0.025671641791044777
17383,2017-01-15,4,2017,1,23,0,0,0,1,0.13097560975609757,0.13097560975609757,0.69,0.025671641791044777
17384,2017-01-16,4,2017,1,24,1,1,0,1,0,0,0.93,0.021492537313432834
17384,2017-01-16,4,2017,1,1,1,1,0,1,0,0,0.93,0.021492537313432834
17384,2017-01-16,4,2017,1,2,1,1,0,1,0,0,0.93,0.021492537313432834
17385,2017-01-16,4,2017,1,03,1,1,0,1,0,0,1,0.018805970149253733
17385,2017-01-16,4,2017,1,4,1,1,0,1,0,0,1,0.018805970149253733
17385,2017-01-16,4,2017,1,5,1,1,0,1,0,0,1,0.018805970149253733
17386,2017-01-16,4,2017,1,06,1,1,0,1,0,0,1,0.020447761194029853
17386,2017-01-16,4,2017,1,7,1,1,0,1,0,0,1,0.020447761194029853
17386,2017-01-16,4,2017,1,8,1,1,0,1,0,0,1,0.020447761194029853
17387,2017-01-16,4,2017,1,09,1,1,0,2,0,0,1,0.02208955223880597
17387,2017-01-16,4,2017,1,10,1,1,0,2,0,0,1,0.02208955223880597
17387,2017-01-16,4,2017,1,11,1,1,0,2,0,0,1,0.02208955223880597
17388,2017-01-16,4,2017,1,12,1,1,0,1,0,0,1,0.022686567164179106
17388,2017-01-16,4,2017,1,13,1,1,0,1,0,0,1,0.022686567164179106
17388,2017-01-16,4,2017,1,14,1,1,0,1,0,0,1,0.022686567164179106
17389,2017-01-16,4,2017,1,15,1,1,0,2,0.059756097560975614,0.059756097560975614,0.78,0.02552238805970149
17389,2017-01-16,4,2017,1,16,1,1,0,2,0.059756097560975614,0.059756097560975614,0.78,0.02552238805970149
17389,2017-01-16,4,2017,1,17,1,1,0,2,0.059756097560975614,0.059756097560975614,0.78,0.02552238805970149
17390,2017-01-16,4,2017,1,18,1,1,0,2,0.12024390243902439,0.12024390243902439,0.73,0.025373134328358207
17390,2017-01-16,4,2017,1,19,1,1,0,2,0.12024390243902439,0.12024390243902439,0.73,0.025373134328358207
17390,2017-01-16,4,2017,1,20,1,1,0,2,0.12024390243902439,0.12024390243902439,0.73,0.025373134328358207
17391,2017-01-16,4,2017,1,21,1,1,0,3,0.1248780487804878,0.1248780487804878,0.72,0.031044776119402987
17391,2017-01-16,4,2017,1,22,1,1,0,3,0.1248780487804878,0.1248780487804878,0.72,0.031044776119402987
17391,2017-01-16,4,2017,1,23,1,1,0,3,0.1248780487804878,0.1248780487804878,0.72,0.031044776119402987
17392,2017-01-17,4,2017,1,24,0,2,1,3,0.06780487804878048,0.06780487804878048,0.82,0.033731343283582085
17392,2017-01-17,4,2017,1,1,0,2,1,3,0.06780487804878048,0.06780487804878048,0.82,0.033731343283582085
17392,2017-01-17,4,2017,1,2,0,2,1,3,0.06780487804878048,0.06780487804878048,0.82,0.033731343283582085
17393,2017-01-17,4,2017,1,03,0,2,1,2,0.059756097560975614,0.059756097560975614,0.84,0.031492537313432836
17393,2017-01-17,4,2017,1,4,0,2,1,2,0.059756097560975614,0.059756097560975614,0.84,0.031492537313432836
17393,2017-01-17,4,2017,1,5,0,2,1,2,0.059756097560975614,0.059756097560975614,0.84,0.031492537313432836
17394,2017-01-17,4,2017,1,06,0,2,1,3,0.05463414634146342,0.05463414634146342,0.85,0.032238805970149255
17394,2017-01-17,4,2017,1,7,0,2,1,3,0.05463414634146342,0.05463414634146342,0.85,0.032238805970149255
17394,2017-01-17,4,2017,1,8,0,2,1,3,0.05463414634146342,0.05463414634146342,0.85,0.032238805970149255
17395,2017-01-17,4,2017,1,09,0,2,1,3,0.05365853658536586,0.05365853658536586,0.85,0.033731343283582085
17395,2017-01-17,4,2017,1,10,0,2,1,3,0.05365853658536586,0.05365853658536586,0.85,0.033731343283582085
17395,2017-01-17,4,2017,1,11,0,2,1,3,0.05365853658536586,0.05365853658536586,0.85,0.033731343283582085
17396,2017-01-17,4,2017,1,12,0,2,1,3,0.05414634146341464,0.05414634146341464,0.88,0.03671641791044776
17396,2017-01-17,4,2017,1,13,0,2,1,3,0.05414634146341464,0.05414634146341464,0.88,0.03671641791044776
17396,2017-01-17,4,2017,1,14,0,2,1,3,0.05414634146341464,0.05414634146341464,0.88,0.03671641791044776
17397,2017-01-17,4,2017,1,15,0,2,1,2,0.1348780487804878,0.1348780487804878,0.77,0.03522388059701492
17397,2017-01-17,4,2017,1,16,0,2,1,2,0.1348780487804878,0.1348780487804878,0.77,0.03522388059701492
17397,2017-01-17,4,2017,1,17,0,2,1,2,0.1348780487804878,0.1348780487804878,0.77,0.03522388059701492
17398,2017-01-17,4,2017,1,18,0,2,1,3,0.2129268292682927,0.2129268292682927,0.71,0.041194029850746265
17398,2017-01-17,4,2017,1,19,0,2,1,3,0.2129268292682927,0.2129268292682927,0.71,0.041194029850746265
17398,2017-01-17,4,2017,1,20,0,2,1,3,0.2129268292682927,0.2129268292682927,0.71,0.041194029850746265
17399,2017-01-17,4,2017,1,21,0,2,1,3,0.24658536585365853,0.24658536585365853,0.7,0.054029850746268655
17399,2017-01-17,4,2017,1,22,0,2,1,3,0.24658536585365853,0.24658536585365853,0.7,0.054029850746268655
17399,2017-01-17,4,2017,1,23,0,2,1,3,0.24658536585365853,0.24658536585365853,0.7,0.054029850746268655
17400,2017-01-18,4,2017,1,24,0,3,1,3,0.22731707317073171,0.22731707317073171,0.85,0.0508955223880597
17400,2017-01-18,4,2017,1,1,0,3,1,3,0.22731707317073171,0.22731707317073171,0.85,0.0508955223880597
17400,2017-01-18,4,2017,1,2,0,3,1,3,0.22731707317073171,0.22731707317073171,0.85,0.0508955223880597
17401,2017-01-18,4,2017,1,03,0,3,1,3,0.234390243902439,0.234390243902439,0.9,0.05985074626865671
17401,2017-01-18,4,2017,1,4,0,3,1,3,0.234390243902439,0.234390243902439,0.9,0.05985074626865671
17401,2017-01-18,4,2017,1,5,0,3,1,3,0.234390243902439,0.234390243902439,0.9,0.05985074626865671
17402,2017-01-18,4,2017,1,06,0,3,1,3,0.2519512195121951,0.2519512195121951,0.88,0.06656716417910448
17402,2017-01-18,4,2017,1,7,0,3,1,3,0.2519512195121951,0.2519512195121951,0.88,0.06656716417910448
17402,2017-01-18,4,2017,1,8,0,3,1,3,0.2519512195121951,0.2519512195121951,0.88,0.06656716417910448
17403,2017-01-18,4,2017,1,09,0,3,1,3,0.29292682926829267,0.29292682926829267,0.87,0.07791044776119403
17403,2017-01-18,4,2017,1,10,0,3,1,3,0.29292682926829267,0.29292682926829267,0.87,0.07791044776119403
17403,2017-01-18,4,2017,1,11,0,3,1,3,0.29292682926829267,0.29292682926829267,0.87,0.07791044776119403
17404,2017-01-18,4,2017,1,12,0,3,1,3,0.32682926829268294,0.32682926829268294,0.87,0.06268656716417911
17404,2017-01-18,4,2017,1,13,0,3,1,3,0.32682926829268294,0.32682926829268294,0.87,0.06268656716417911
17404,2017-01-18,4,2017,1,14,0,3,1,3,0.32682926829268294,0.32682926829268294,0.87,0.06268656716417911
17405,2017-01-18,4,2017,1,15,0,3,1,3,0.34804878048780485,0.34804878048780485,0.87,0.08865671641791045
17405,2017-01-18,4,2017,1,16,0,3,1,3,0.34804878048780485,0.34804878048780485,0.87,0.08865671641791045
17405,2017-01-18,4,2017,1,17,0,3,1,3,0.34804878048780485,0.34804878048780485,0.87,0.08865671641791045
17406,2017-01-18,4,2017,1,18,0,3,1,3,0.3251219512195122,0.3251219512195122,0.9,0.06582089552238807
17406,2017-01-18,4,2017,1,19,0,3,1,3,0.3251219512195122,0.3251219512195122,0.9,0.06582089552238807
17406,2017-01-18,4,2017,1,20,0,3,1,3,0.3251219512195122,0.3251219512195122,0.9,0.06582089552238807
17407,2017-01-18,4,2017,1,21,0,3,1,3,0.3129268292682927,0.3129268292682927,0.78,0.09492537313432836
17407,2017-01-18,4,2017,1,22,0,3,1,3,0.3129268292682927,0.3129268292682927,0.78,0.09492537313432836
17407,2017-01-18,4,2017,1,23,0,3,1,3,0.3129268292682927,0.3129268292682927,0.78,0.09492537313432836
17408,2017-01-19,4,2017,1,24,0,4,1,3,0.18560975609756097,0.18560975609756097,0.81,0.09343283582089552
17408,2017-01-19,4,2017,1,1,0,4,1,3,0.18560975609756097,0.18560975609756097,0.81,0.09343283582089552
17408,2017-01-19,4,2017,1,2,0,4,1,3,0.18560975609756097,0.18560975609756097,0.81,0.09343283582089552
17409,2017-01-19,4,2017,1,03,0,4,1,1,0.12414634146341463,0.12414634146341463,0.85,0.08298507462686566
17409,2017-01-19,4,2017,1,4,0,4,1,1,0.12414634146341463,0.12414634146341463,0.85,0.08298507462686566
17409,2017-01-19,4,2017,1,5,0,4,1,1,0.12414634146341463,0.12414634146341463,0.85,0.08298507462686566
17410,2017-01-19,4,2017,1,06,0,4,1,1,0.08414634146341464,0.08414634146341464,0.89,0.07328358208955224
17410,2017-01-19,4,2017,1,7,0,4,1,1,0.08414634146341464,0.08414634146341464,0.89,0.07328358208955224
17410,2017-01-19,4,2017,1,8,0,4,1,1,0.08414634146341464,0.08414634146341464,0.89,0.07328358208955224
17411,2017-01-19,4,2017,1,09,0,4,1,1,0.07268292682926829,0.07268292682926829,0.92,0.06119402985074626
17411,2017-01-19,4,2017,1,10,0,4,1,1,0.07268292682926829,0.07268292682926829,0.92,0.06119402985074626
17411,2017-01-19,4,2017,1,11,0,4,1,1,0.07268292682926829,0.07268292682926829,0.92,0.06119402985074626
17412,2017-01-19,4,2017,1,12,0,4,1,2,0.07707317073170732,0.07707317073170732,0.91,0.05313432835820896
17412,2017-01-19,4,2017,1,13,0,4,1,2,0.07707317073170732,0.07707317073170732,0.91,0.05313432835820896
17412,2017-01-19,4,2017,1,14,0,4,1,2,0.07707317073170732,0.07707317073170732,0.91,0.05313432835820896
17413,2017-01-19,4,2017,1,15,0,4,1,1,0.14536585365853658,0.14536585365853658,0.83,0.04283582089552239
17413,2017-01-19,4,2017,1,16,0,4,1,1,0.14536585365853658,0.14536585365853658,0.83,0.04283582089552239
17413,2017-01-19,4,2017,1,17,0,4,1,1,0.14536585365853658,0.14536585365853658,0.83,0.04283582089552239
17414,2017-01-19,4,2017,1,18,0,4,1,1,0.2421951219512195,0.2421951219512195,0.65,0.06447761194029851
17414,2017-01-19,4,2017,1,19,0,4,1,1,0.2421951219512195,0.2421951219512195,0.65,0.06447761194029851
17414,2017-01-19,4,2017,1,20,0,4,1,1,0.2421951219512195,0.2421951219512195,0.65,0.06447761194029851
17415,2017-01-19,4,2017,1,21,0,4,1,1,0.26146341463414635,0.26146341463414635,0.61,0.06955223880597015
17415,2017-01-19,4,2017,1,22,0,4,1,1,0.26146341463414635,0.26146341463414635,0.61,0.06955223880597015
17415,2017-01-19,4,2017,1,23,0,4,1,1,0.26146341463414635,0.26146341463414635,0.61,0.06955223880597015
